ages,male_AF_left-volume_0.025_centile,male_AF_left-volume_0.5_centile,male_AF_left-volume_0.975_centile,female_AF_left-volume_0.025_centile,female_AF_left-volume_0.5_centile,female_AF_left-volume_0.975_centile
68.13243243243244,15927.230529516715,33450.867499537475,45149.57235263413,16059.324754203697,32462.872495799114,43415.203495668575
68.22242242242243,15915.680557992908,33441.551820858636,45141.80502386364,16048.17328531146,32453.97539054273,43407.73042741575
68.31241241241241,15904.13886461868,33432.24882972527,45134.05504189468,16037.029801429318,32445.090633225973,43400.27405271529
68.4024024024024,15892.605438215418,33422.9585126746,45126.322394150404,16025.89429152153,32436.218210945124,43392.83435946714
68.49239239239239,15881.080267599264,33413.68085621451,45118.607068013094,16014.766744546405,32427.358110768215,43385.41133553223
68.58238238238238,15869.563341581408,33404.41584682398,45110.90905082475,16003.647149456441,32418.510319735207,43378.00496873278
68.67237237237238,15858.054648968347,33395.16347095361,45103.22832988775,15992.535495198652,32409.674824858546,43370.615246852954
68.76236236236237,15846.554178562257,33385.92371502624,45095.56489246571,15981.431770714744,32400.851613123505,43363.24215763939
68.85235235235236,15835.06191916101,33376.69656543704,45087.91872578351,15970.335964941514,32392.04067148887,43355.88568880196
68.94234234234234,15823.577859558703,33367.4820085544,45080.28981702851,15959.248066811026,32383.24198688723,43348.54582801429
69.03233233233233,15812.101988545708,33358.280030719994,45072.67815335069,15948.168065250711,32374.455546225112,43341.22256291379
69.12232232232232,15800.634294909069,33349.09061824959,45065.08372186354,15937.09594918401,32365.681336384197,43333.915881103356
69.21231231231232,15789.174767432509,33339.913757432936,45057.506509644125,15926.031707530099,32356.919344220725,43326.62577015048
69.30230230230231,15777.723394896966,33330.74943453483,45049.94650373425,15914.975329204573,32348.169556566732,43319.35221758895
69.3922922922923,15766.280166080669,33321.59763579517,45042.40369114075,15903.92680311946,32339.431960230115,43312.09521091888
69.48228228228228,15754.845069759393,33312.458347429456,45034.878058835944,15892.886118183507,32330.706541995074,43304.85473760728
69.57227227227227,15743.418094706656,33303.33155562916,45027.369593758296,15881.8532633024,32321.993288622485,43297.630785088586
69.66226226226226,15731.999229694105,33294.21724656235,45019.878282813035,15870.828227379077,32313.292186850478,43290.423340765345
69.75225225225225,15720.5884634915,33285.11540637372,45012.4041128724,15859.81099931379,32304.603223394544,43283.23239200837
69.84224224224225,15709.185784867195,33276.02602118545,45004.947070776616,15848.801568004532,32295.926384948274,43276.05792615777
69.93223223223224,15697.791182588206,33266.94907709728,44997.50714333401,15837.799922347136,32287.261658183474,43268.899930522966
70.02222222222223,15686.404645420424,33257.884560186896,44990.0843173216,15826.806051235453,32278.609029750543,43261.758392383286
70.11221221221221,15675.026162129026,33248.83245651082,44982.678579486164,15815.81994356183,32269.968486279347,43254.63329898906
